t,gpu_util_pct,power_w,gpu_mem_used_mb
0.00015807151794433594,3,28.059,451.875
0.2486865520477295,0,32.181,501.875
0.45403122901916504,17,34.929,501.875
0.658958911895752,16,28.241,501.875
0.8659651279449463,15,29.033,501.875
1.0727126598358154,18,31.39,501.875
1.2803311347961426,16,33.25,501.875
1.4898571968078613,17,29.33,501.875
1.6979060173034668,17,29.429,501.875
1.9038934707641602,15,32.379,501.875
2.1088459491729736,18,28.835,501.875
2.314950704574585,17,30.616,501.875
2.5229060649871826,16,31.588,501.875
2.729215383529663,16,28.934,501.875
2.9378390312194824,15,30.121,501.875
3.145836591720581,15,31.686,501.875
3.356762409210205,15,35.226,501.875
3.575241804122925,18,30.22,501.875
3.782865047454834,15,28.736,501.875
3.9878509044647217,15,33.052,501.875
4.193856477737427,15,37.477,501.875
4.398849010467529,15,33.645,501.875
4.605847358703613,15,29.923,501.875
4.811871767044067,15,31.291,501.875
5.015883922576904,15,28.934,501.875
5.227114915847778,17,30.616,501.875
5.431864976882935,18,34.633,501.875
5.6365437507629395,16,29.33,501.875
5.844845294952393,15,28.538,501.875
6.051835536956787,18,33.645,501.875
6.256850719451904,18,29.429,501.875
6.463850975036621,18,32.657,501.875
6.670717716217041,18,34.831,501.875
6.876692056655884,15,29.824,501.875
7.08586049079895,16,33.941,501.875
7.2911670207977295,17,31.012,501.875
7.504948377609253,15,34.613,501.875
7.714042901992798,9,29.923,609.875
7.922746658325195,6,28.736,609.875
8.130074739456177,7,31.588,609.875
8.336960077285767,6,31.785,609.875
8.543861150741577,7,30.796,609.875
8.75897741317749,6,28.934,609.875
8.986050367355347,8,31.686,609.875
9.191869020462036,13,29.231,609.875
9.398892164230347,13,30.715,609.875
9.603885889053345,16,32.675,609.875
9.810687065124512,17,30.599,609.875
10.01603078842163,17,28.637,609.875
10.228861570358276,10,31.192,609.875
10.435313940048218,12,28.637,609.875
10.652701139450073,10,28.736,609.875
10.862690448760986,9,28.538,609.875
11.074912548065186,12,28.34,609.875
11.284220933914185,7,28.538,609.875
11.497689723968506,12,28.439,609.875
11.710424184799194,13,28.34,609.875
11.921703338623047,10,28.241,609.875
12.130392789840698,10,32.459,609.875
12.33684229850769,10,32.261,609.875
12.546720504760742,10,33.466,609.875
12.753700494766235,10,31.983,609.875
12.960686922073364,10,30.814,609.875
13.167855978012085,17,29.231,609.875
13.375849962234497,15,30.895,609.875
13.580842733383179,17,29.725,609.875
13.786917448043823,15,28.835,609.875
13.992864847183228,15,28.538,609.875
14.199966669082642,15,34.653,609.875
14.406840562820435,16,32.082,609.875
14.610860586166382,14,35.621,609.875
14.82153034210205,16,30.994,609.875
15.027840375900269,19,29.033,609.875
15.23183298110962,15,34.613,609.875
15.439619064331055,16,29.033,609.875
15.646847486495972,16,31.884,609.875
15.852709293365479,18,31.192,609.875
16.057855129241943,16,34.435,609.875
16.264837980270386,19,30.698,609.875
16.47098183631897,15,29.528,609.875
16.67550754547119,15,29.824,609.875
16.880831241607666,15,29.132,609.875
17.087703943252563,15,30.5,609.875
17.29288148880005,21,28.439,609.875
17.499928951263428,2,28.934,609.875
17.704915285110474,6,30.104,609.875
17.90984582901001,6,29.132,609.875
18.115839958190918,7,32.774,609.875
18.322919607162476,7,28.637,609.875
18.532334327697754,8,33.645,609.875
18.756894826889038,3,35.699,609.875
18.96183943748474,10,30.104,609.875
19.169694423675537,18,32.261,609.875
19.374853134155273,16,33.862,609.875
19.57947564125061,15,29.412,609.875
19.787513494491577,18,29.132,609.875
19.9938325881958,15,31.588,609.875
20.198848485946655,18,34.139,609.875
20.405858278274536,15,32.163,609.875
20.61049509048462,15,33.348,609.875
20.81986165046692,15,35.325,609.875
21.0248384475708,15,32.755,609.875
21.22987961769104,20,29.511,609.875
21.43643569946289,15,29.313,609.875
21.64306116104126,15,35.028,609.875
21.847846508026123,16,30.994,609.875
22.05382800102234,17,29.907,609.875
22.25868797302246,17,29.033,609.875
22.466756343841553,15,34.337,609.875
22.676878929138184,20,30.22,609.875
22.88270115852356,15,30.895,609.875
23.091700553894043,10,31.291,609.875
23.298854112625122,10,32.675,609.875
23.506694316864014,10,33.961,609.875
23.715686559677124,10,29.033,609.875
23.922088623046875,13,28.538,609.875
24.13468647003174,9,28.538,609.875
24.341835021972656,11,28.637,609.875
24.547837734222412,7,32.379,609.875
24.75635313987732,10,28.538,609.875
24.962435722351074,10,33.744,609.875
25.17295265197754,10,28.538,609.875
25.381739139556885,7,31.111,609.875
25.589475870132446,13,34.119,609.875
25.79784893989563,10,30.698,609.875
26.006813049316406,13,29.231,609.875
26.216970920562744,16,30.5,609.875
26.422857761383057,17,29.033,609.875
26.62883758544922,15,28.736,609.875
26.832921743392944,15,32.28,609.875
27.03924036026001,20,34.949,609.875
27.245898723602295,1,28.538,609.875
27.451083421707153,6,32.379,609.875
27.657848596572876,6,30.599,609.875
27.86283040046692,8,32.675,609.875
28.06969928741455,8,28.934,609.875
28.275702476501465,7,30.302,609.875
