t,gpu_util_pct,power_w,gpu_mem_used_mb
0.0002090930938720703,0,31.192,487.875
0.21863794326782227,7,31.093,487.875
0.4245927333831787,0,31.093,487.875
0.6325738430023193,0,31.192,507.875
0.8427367210388184,1,31.192,577.875
1.0467417240142822,2,33.546,1043.875
1.257582664489746,53,48.225,639.875
1.4817488193511963,2,31.39,705.875
1.6857335567474365,32,59.764,1417.875
1.8887510299682617,81,64.652,1709.875
2.0914645195007324,47,40.613,2005.875
2.2942428588867188,33,41.403,2017.875
2.4971923828125,0,41.083,2017.875
2.699927806854248,0,41.403,2017.875
2.904726028442383,0,41.378,2017.875
3.10770583152771,0,41.403,2017.875
3.310547351837158,0,41.378,2017.875
3.5133907794952393,0,41.477,2017.875
3.7161805629730225,0,41.477,2017.875
3.919628381729126,0,32.657,2017.875
4.122467279434204,0,31.39,2017.875
4.325248718261719,0,31.39,2017.875
4.530361652374268,0,31.39,2017.875
4.73348069190979,0,31.39,2017.875
4.9365715980529785,0,31.39,2017.875
5.139801263809204,0,31.39,2017.875
5.342926025390625,0,31.39,2017.875
5.546002149581909,54,35.72,2047.875
5.749244689941406,5,31.588,2047.875
5.952144622802734,0,31.588,2047.875
6.157009601593018,34,34.633,2001.875
6.3600499629974365,3,31.588,2001.875
6.562990188598633,0,31.588,2001.875
6.765852689743042,0,31.588,2001.875
6.968664169311523,0,31.588,2001.875
7.1715781688690186,0,31.588,2001.875
7.374394416809082,0,31.39,2001.875
7.577284812927246,0,31.39,2001.875
7.780127763748169,0,31.39,2001.875
7.984493017196655,0,31.39,2001.875
8.187359094619751,0,31.39,2001.875
8.390186786651611,0,31.39,2001.875
8.597933053970337,0,31.39,2001.875
8.800845384597778,0,37.576,1951.875
9.003732681274414,67,32.36,1825.875
9.210391998291016,0,32.379,1825.875
9.413594484329224,0,32.36,1865.875
9.621585845947266,41,32.755,1711.875
9.830587148666382,0,32.755,1711.875
10.035761833190918,0,32.755,1711.875
10.240780353546143,0,32.755,1711.875
10.44474720954895,0,32.755,1711.875
10.649750232696533,0,32.755,1711.875
10.85776948928833,0,32.755,1711.875
11.066071510314941,0,32.755,1711.875
11.276581525802612,0,32.755,1711.875
11.482911586761475,0,31.489,1711.875
11.685988664627075,0,31.489,1711.875
11.891803979873657,58,54.955,1733.875
12.106682777404785,89,62.867,1357.875
12.30946397781372,8,41.181,1357.875
12.51225209236145,0,41.773,1357.875
12.7148756980896,0,41.872,1357.875
12.917582750320435,0,41.773,1357.875
13.120380878448486,0,41.773,1357.875
13.323127746582031,0,41.773,1357.875
13.5281400680542,0,41.773,1567.875
13.735215425491333,44,41.28,909.875
13.942776679992676,0,41.576,909.875
14.145472764968872,6,41.97,961.875
14.348416805267334,0,41.872,961.875
14.553417205810547,0,41.872,961.875
14.756648540496826,1,99.821,819.875
14.96957278251648,80,68.123,2265.875
15.195759534835815,99,69.692,2265.875
15.404220581054688,78,43.03,2317.875
15.610735893249512,35,71.227,2317.875
15.817867040634155,49,81.249,2317.875
16.022753953933716,58,78.224,2317.875
16.23057794570923,41,49.476,2317.875
16.456586837768555,61,40.195,2317.875
16.669737100601196,55,80.814,2317.875
16.876584768295288,64,41.674,2317.875
17.08429265022278,0,79.446,2317.875
17.294965028762817,66,39.133,2317.875
17.50074315071106,54,42.167,2317.875
17.705743551254272,14,76.363,2317.875
17.927687883377075,93,41.378,2317.875
18.136578798294067,14,79.349,2317.875
18.35573387145996,61,50.263,2317.875
18.571730136871338,22,42.266,2317.875
18.776755571365356,94,79.643,2317.875
18.982881784439087,5,42.365,2317.875
19.19560480117798,39,64.28,2317.875
19.400084495544434,83,39.429,2317.875
19.605732440948486,0,48.885,2317.875
19.829729080200195,79,76.265,2317.875
20.055732488632202,43,36.884,2317.875
20.266620635986328,36,70.335,2317.875
20.473589420318604,84,37.653,2317.875
20.680171251296997,3,89.678,2317.875
20.898728132247925,95,67.927,2317.875
21.10575819015503,27,91.627,2317.875
21.336466789245605,86,40.491,2317.875
21.5395827293396,28,62.906,2317.875
21.744765281677246,87,96.087,2615.875
21.94744300842285,76,65.36,1571.875
22.150270462036133,85,66.571,1967.875
22.358585357666016,49,42.661,2009.875
22.563445568084717,32,42.661,2009.875
22.768747568130493,0,42.931,2009.875
22.97458052635193,0,42.956,2009.875
23.17975354194641,0,43.128,2009.875
23.383525609970093,0,43.055,2009.875
23.593735694885254,0,42.956,2009.875
